player_defactions_stats_id,player_id,team_id,league_id,season_id,player_Tackles,player_Tackles_Att 3rd,player_Tackles_Def 3rd,player_Tackles_Mid 3rd,player_Tackles_TklW,player_Cha_Tkl_,player_Cha_Att,player_Cha_Tkl%_new,player_Cha_Lost,player_Blocks,player_Blocks_Clr,player_Blocks_Err,player_Blocks_Int,player_Blocks_Pass,player_Blocks_Sh,player_Blocks_Tkl+Int
11852,3438,SA_LAZ_11,SA_1,3,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0
11853,3439,L1_BRE_3,L1_1,3,0,0,0,0,0,0,1,0,1,1,24,4,0,1,0,0
11854,3441,SA_CRM_24,SA_1,3,1,0,1,0,1,1,2,0.5,1,0,11,2,0,0,0,1
11855,3442,SA_MON_26,SA_1,3,4,0,3,1,4,2,5,0.4,3,2,3,0,1,2,0,5
11856,3444,BL_BRE_18,BL_1,3,62,0,40,22,46,41,68,0.6029411764705882,27,46,127,1,58,29,17,120
11857,3455,BL_BVB_4,BL_1,3,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0
11858,3457,BL_BVB_4,BL_1,3,30,4,12,14,17,7,24,0.2916666666666667,17,12,8,0,8,8,4,38
11859,3458,BL_HER_8,BL_1,3,43,8,18,17,23,19,48,0.3958333333333333,29,29,25,0,24,27,2,67
11860,3458,BL_HER_8,BL_1,3,43,8,18,17,23,19,48,0.3958333333333333,29,29,25,0,24,27,2,67
11861,3461,SA_UDN_20,SA_1,3,2,0,2,0,1,2,3,0.6666666666666666,1,0,15,1,1,0,0,3
11862,3462,SA_ATL_1,SA_1,3,1,0,1,0,0,1,3,0.3333333333333333,2,0,2,0,0,0,0,1
11863,3463,L1_PSG_16,L1_1,3,76,6,34,36,49,38,89,0.42696629213483145,51,42,11,3,27,36,6,103
11864,3464,BL_HER_8,BL_1,3,44,1,29,14,27,16,22,0.7272727272727273,6,42,143,0,51,10,32,95
11865,3465,LL_SEV_17,LL_1,3,57,6,34,17,36,30,42,0.7142857142857143,12,16,36,0,23,11,5,80
11866,3466,LL_BAR_4,LL_1,3,15,0,10,5,10,9,12,0.75,3,14,32,0,11,4,10,26
11867,3467,LL_VAL_18,LL_1,3,4,2,1,1,1,1,2,0.5,1,4,0,0,0,3,1,4
11868,3467,LL_VAL_18,LL_1,3,4,2,1,1,1,1,2,0.5,1,4,0,0,0,3,1,4
11869,3468,SA_LAZ_11,SA_1,3,9,0,4,5,6,9,20,0.45,11,7,18,0,11,5,2,20
11870,3469,LL_ATM_3,LL_1,3,32,6,16,10,15,17,30,0.5666666666666667,13,26,19,0,17,24,2,49
11871,3469,LL_ATM_3,LL_1,3,32,6,16,10,15,17,30,0.5666666666666667,13,26,19,0,17,24,2,49
11872,3469,LL_ATM_3,LL_1,3,32,6,16,10,15,17,30,0.5666666666666667,13,26,19,0,17,24,2,49
11873,3472,PL_BOU_3,PL_1,3,50,0,28,22,35,23,44,0.5227272727272727,21,38,146,2,43,18,20,93
11874,3473,L1_NAN_13,L1_1,3,24,4,11,9,15,11,23,0.4782608695652174,12,13,7,0,14,10,3,38
11875,3473,L1_NAN_13,L1_1,3,24,4,11,9,15,11,23,0.4782608695652174,12,13,7,0,14,10,3,38
11876,3473,L1_NAN_13,L1_1,3,24,4,11,9,15,11,23,0.4782608695652174,12,13,7,0,14,10,3,38
11877,3473,L1_NAN_13,L1_1,3,24,4,11,9,15,11,23,0.4782608695652174,12,13,7,0,14,10,3,38
11878,3476,BL_MAI_13,BL_1,3,4,2,0,2,1,1,10,0.1,9,9,10,0,4,8,1,8
11879,3476,BL_MAI_13,BL_1,3,4,2,0,2,1,1,10,0.1,9,9,10,0,4,8,1,8
11880,3476,BL_MAI_13,BL_1,3,4,2,0,2,1,1,10,0.1,9,9,10,0,4,8,1,8
11881,3479,PL_MUN_14,PL_1,3,20,5,7,8,10,9,24,0.375,15,31,14,0,7,27,4,27
11882,3479,PL_MUN_14,PL_1,3,20,5,7,8,10,9,24,0.375,15,31,14,0,7,27,4,27
11883,3480,PL_BOU_3,PL_1,3,33,3,19,11,22,11,33,0.3333333333333333,22,25,23,0,9,21,4,42
11884,3480,PL_BOU_3,PL_1,3,33,3,19,11,22,11,33,0.3333333333333333,22,25,23,0,9,21,4,42
11885,3480,PL_BOU_3,PL_1,3,33,3,19,11,22,11,33,0.3333333333333333,22,25,23,0,9,21,4,42
11886,3481,BL_GLA_7,BL_1,3,14,5,3,6,7,6,13,0.46153846153846156,7,20,22,0,6,17,3,20
11887,3481,BL_GLA_7,BL_1,3,14,5,3,6,7,6,13,0.46153846153846156,7,20,22,0,6,17,3,20
11888,3482,PL_FUL_9,PL_1,3,0,0,0,0,0,0,0,NaN,0,0,1,1,0,0,0,0
11889,3484,LL_RMA_15,LL_1,3,1,0,0,1,0,0,0,NaN,0,1,0,0,0,1,0,1
11890,3484,LL_RMA_15,LL_1,3,1,0,0,1,0,0,0,NaN,0,1,0,0,0,1,0,1
11891,3485,L1_ANG_1,L1_1,3,1,1,0,0,1,0,0,NaN,0,0,0,0,0,0,0,1
11892,3487,SA_LEC_25,SA_1,3,16,1,8,7,14,5,7,0.7142857142857143,2,4,31,0,16,1,3,32
11893,3492,SA_LAZ_11,SA_1,3,3,0,3,0,1,0,1,0,1,0,3,0,3,0,0,6
11894,3493,BL_FRA_5,BL_1,3,42,7,13,22,25,14,47,0.2978723404255319,33,25,12,0,13,25,0,55
11895,3493,BL_FRA_5,BL_1,3,42,7,13,22,25,14,47,0.2978723404255319,33,25,12,0,13,25,0,55
11896,3494,LL_ATM_3,LL_1,3,22,2,14,6,15,9,30,0.3,21,19,85,1,19,10,9,41
11897,3495,LL_RAY_23,LL_1,3,3,0,2,1,2,3,7,0.42857142857142855,4,2,0,0,2,2,0,5
11898,3495,LL_RAY_23,LL_1,3,3,0,2,1,2,3,7,0.42857142857142855,4,2,0,0,2,2,0,5
11899,3496,PL_WOL_20,PL_1,3,38,3,22,13,24,20,38,0.5263157894736842,18,26,24,1,14,18,8,52
