player_shooting_stats_id,player_id,team_id,league_id,season_id,player_shooting_FK,player_shooting_G/Sh_new,player_shooting_Gls,player_shooting_G/SoT_new,player_shooting_PK,player_shooting_Sh,player_shooting_Sh/90_new,player_shooting_SoT,player_shooting_SoT/90_new,player_shooting_SoT%
2179,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,0.85,7,0.33,0.39
2179,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,0.87,7,0.34,0.39
2179,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,1.12,7,0.44,0.39
2179,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,1.99,7,0.78,0.39
2179,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,6.92,7,2.69,0.39
2179,2809,BL_LEI_14,BL_1,1,0,0.17,3,0.42857142857142855,0,18,85.71,7,33.33,0.39
2180,2815,SA_SAS_17,SA_1,1,2,0,0,NaN,0,5,0.33,0,0,0
2180,2815,SA_SAS_17,SA_1,1,2,0,0,NaN,0,5,0.57,0,0,0
2180,2815,SA_SAS_17,SA_1,1,2,0,0,NaN,0,5,0.83,0,0,0
2181,2817,SA_BOL_3,SA_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
2182,2817,SA_BOL_3,SA_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
2183,2817,SA_BOL_3,SA_1,1,0,NaN,0,NaN,0,0,0,0,0,NaN
2184,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,1.13,16,0.55,0.48
2184,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,1.16,16,0.56,0.48
2184,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,1.58,16,0.77,0.48
2184,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,1.64,16,0.8,0.48
2184,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,19.53,16,9.47,0.48
2185,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,1.13,16,0.55,0.48
2185,2819,PL_CHE_6,PL_1,1,0,0.12,4,0.25,0,33,1.16,16,0.56,0.48
